step,p_values,n_values,R_values
0,3700.0,91550.0,338735000.0
1,3700.0,82415.80631939787,304938483.38177216
2,3700.0,74195.03200685595,274521618.425367
3,3700.0,66796.33512556822,247146439.9646024
4,3700.0,60137.507932409266,222508779.34991428
5,3700.0,54144.563458566205,200334884.79669496
6,3700.0,48750.91343210745,180378379.69879758
7,3700.0,43896.62840829458,162417525.11068994
8,3700.0,39527.77188686299,146252755.98139307
9,3700.0,35595.80101757456,131704463.76502587
10,3700.0,32057.02723521497,118611000.77029538
11,3700.0,28872.13083109134,106826884.07503796
12,3700.0,26005.724067380077,96221179.04930629
13,3700.0,23425.957980039937,86676044.52614777
14,3700.0,21104.16850143381,78085423.4553051
15,3700.0,19014.5579706883,70353864.4915467
16,3700.0,17133.908493017338,63395461.424164146
17,3700.0,15441.323963113471,57132898.663519844
18,3700.0,13917.997886199992,51496592.17893997
19,3700.0,12547.004416977861,46423916.34281809
20,3700.0,11313.110294677943,41858508.09030839
21,3700.0,10202.605584608016,37749640.66304966
22,3700.0,9203.151345545082,34051659.9785168
23,3700.0,8303.642530388443,30723477.362437237
24,3700.0,7494.084596747467,27728113.007965628
25,3700.0,6765.482456470589,25032285.08894118
26,3700.0,6109.740530221398,22606039.961819176
27,3700.0,5519.572796597127,20422419.34740937
28,3700.0,4988.421836335283,18457160.794440545
29,3700.0,4510.385972099623,16688428.096768606
30,3700.0,4080.153694287529,15096568.668863857
31,3700.0,3692.9446442566446,13663895.183749584
32,3700.0,3344.4564992288483,12374489.04714674
33,3700.0,3030.817168703832,11214023.524204178
34,3700.0,2748.5417712313174,10169604.553555874
35,3700.0,2494.493913506054,9229627.4799724
36,3700.0,2265.850841553317,8383648.113747273
37,3700.0,2060.0720767958537,7622266.684144659
38,3700.0,1874.8711885141367,6937023.397502306
39,3700.0,1708.1903890605913,6320304.439524188
40,3700.0,1558.1776695524006,5765257.377343882
41,3700.0,1423.166221995029,5265715.021381607
42,3700.0,1301.6559191933945,4816126.90101556
43,3700.0,1192.2966466719236,4411497.592686117
44,3700.0,1093.8733014025995,4047331.215189618
45,3700.0,1005.2922906602079,3719581.475442769
46,3700.0,925.5693809920555,3424606.709670605
47,3700.0,853.8187622907183,3159129.4204756576
48,3700.0,789.2432054595148,2920199.860200205
49,3700.0,731.1252043114316,2705163.255952297
50,3700.0,678.8190032781569,2511630.3121291804
51,3700.0,631.7434223482095,2337450.662688375
52,3700.0,589.3753995112569,2180688.9781916505
53,3700.0,551.2441789579996,2039603.4621445984
54,3700.0,516.926080460068,1912626.4977022514
55,3700.0,486.03979181192955,1798347.2297041393
56,3700.0,458.24213202860494,1695495.8885058383
57,3700.0,433.2242382236128,1602929.6814273675
58,3700.0,410.7081337991199,1519620.0950567436
59,3700.0,390.44363981707625,1444641.4673231822
60,3700.0,372.205595233237,1377160.7023629767
61,3700.0,355.7913551077816,1316428.013898792
62,3700.0,341.0185389948718,1261768.5942810257
63,3700.0,327.723004493253,1212575.116625036
64,3700.0,315.75702344179604,1168300.9867346454
65,3700.0,304.9876404954848,1128454.2698332937
66,3700.0,295.29519584380466,1092592.2246220773
67,3700.0,286.5719956572926,1060316.3839319826
68,3700.0,278.72111548943167,1031268.1273108972
69,3700.0,271.6553233383569,1005124.6963519205
70,3700.0,265.29611040238956,981595.6084888413
71,3700.0,259.57281876001895,960419.4294120701
72,3700.0,254.4218562818854,941360.868242976
73,3700.0,249.78599005156522,924208.1631907913
74,3700.0,245.61371044427705,908770.728643825
75,3700.0,241.8586587977177,894877.0375515555
76,3700.0,238.4791123158143,882372.7155685129
77,3700.0,235.4375204821012,871118.8257837745
78,3700.0,232.70008783175945,860990.3249775099
79,3700.0,230.23639844645186,851874.6742518719
80,3700.0,228.01907799967503,843670.5885987977
81,3700.0,226.0234895975759,836286.9115110307
82,3700.0,224.22746003568665,829641.6021320405
83,3700.0,222.61103342998635,823660.8236909495
84,3700.0,221.15624948485606,818278.1230939674
85,3700.0,219.84694393423882,813433.6925566837
86,3700.0,218.6685689386833,809073.7050731282
87,3700.0,217.60803144268334,805149.7163379283
88,3700.0,216.65354769628337,801618.1264762485
89,3700.0,215.7945123245234,798439.6956007365
90,3700.0,215.02138048993942,795579.1078127759
91,3700.0,214.32556183881383,793004.5788036111
92,3700.0,213.6993250528008,790687.5026953629
93,3700.0,213.13571194538906,788602.1341979395
94,3700.0,212.62846014871852,786725.3025502585
95,3700.0,212.171933531715,785036.1540673455
96,3700.0,211.76105957641187,783515.920432724
97,3700.0,211.39127301663905,782147.7101615645
98,3700.0,211.0584651128435,780916.3209175209
99,3700.0,210.7589379994275,779808.0705978818
100,3700.0,210.4893635973531,778810.6453102065
